15499
6887	551	10335
8438	2906	6299
6887	6084	4816
2976	2763	6177
9729	8311	2656
1946	8720	3691
7839	173	4440
1946	4069	2080
6616	7129	1858
6887	244	8341
1946	274	7027
1946	3846	5706
3404	6446	3794
9300	4158	291
5347	6094	3793
6399	7214	9596
1946	7084	4648
9770	2331	2400
10699	6068	6841
2574	10666	1436
1012	4558	1411
9969	1527	6435
2294	8330	2294
2976	362	5867
1946	7192	1010
1946	6450	8954
1946	7819	1626
1946	5644	291
6399	2642	4525
10518	4612	900
7320	1142	3213
9196	5567	3247
10858	5065	336
2919	6857	3887
4791	9220	269
6887	9084	3664
8078	7415	8078
10401	3594	10569
5844	10317	593
2919	4444	10820
6887	2594	3207
7162	9608	6115
1946	3894	11051
5750	2197	6704
6887	4171	9926
3543	8974	10280
9969	8594	6689
6399	7322	1682
7414	8622	6223
5821	898	3248
9946	7483	1168
6887	7364	9342
10719	2365	6118
3832	8617	3979
7839	1461	2430
5803	4674	3553
10884	3225	10270
1993	1942	905
2195	8811	7162
6887	10650	9335
10604	4640	1784
5355	3690	3464
1946	5102	10876
972	6966	3905
5571	10580	7878
2320	6310	8128
9969	806	670
8910	3603	2273
5773	2180	10349
6399	6131	7829
6887	6914	702
1868	1920	1125
9300	150	5660
6583	2344	2716
2976	11002	6206
4791	191	7508
5654	8689	6069
8976	1823	2609
5372	5139	450
10334	10803	8318
2976	2355	1089
2799	9494	2199
239	7619	4263
746	217	5895
2976	8940	2455
1138	6592	566
10348	10920	11060
8831	9044	3639
10719	1022	10722
6887	7799	645
3404	9792	6862
6887	3517	2947
8450	7372	7065
2195	9273	3103
7573	2083	1250
5590	1809	4241
1946	9998	9543
9969	10773	2057
7831	10535	67
7162	979	10052
3404	1515	2583
3549	9563	5728
4873	10295	9311
7162	255	10241
7320	1973	5644
10784	9972	9628
5481	4275	9004
4852	4792	5532
6887	4390	812
6887	5873	1306
1230	2357	4833
9770	1046	2336
8180	4080	5100
2095	6294	7691
1662	10889	8408
10784	9789	9891
6887	9908	434
3343	5902	9796
1946	3561	7171
6887	4248	2916
8976	408	5050
9563	4445	4955
5456	5549	1659
4873	4433	8227
2976	9869	6755
7067	1878	2538
3733	5677	3664
3825	1275	651
5372	2652	5984
7532	5577	6044
8367	6081	1479
9969	6680	3211
6399	9494	7818
6009	3073	1711
3181	7798	5523
1946	7267	3204
6887	8482	4115
9260	3343	3664
7162	1878	2925
5750	2375	6704
7162	1049	1799
7405	1795	8837
2195	5997	1224
7405	9763	4380
9399	5688	4962
10232	5288	1551
8976	5230	6453
5372	9345	11005
2919	8018	9478
5445	9894	1211
9946	5673	4624
9300	769	7749
1946	2459	10307
7876	2677	2464
1946	10791	11047
9969	2480	10897
2195	9258	10118
2294	9234	4776
9946	9176	7158
7520	772	3106
7162	2731	7288
10518	8094	4090
2195	174	9136
6887	4128	9213
5844	1451	8174
6887	8715	1716
5642	7500	10252
9300	9500	1874
8450	1000	1884
244	1586	8237
9300	8692	9491
8514	6941	2808
6740	4078	1546
6954	4972	4030
9300	3489	3278
1946	10246	9265
746	2560	9134
8976	10529	7615
7405	7050	2884
4852	4792	3923
9826	4858	10728
5355	9711	9765
